Amount,Amount
Summary,Summary
"Suppress Email","Suppress Email"
"Store Credit","Store Credit"
Adjustment,Adjustment
Action,Action
Submit,Submit
ID,ID
Type,Type
Info,Info
Balance,Balance
Created,Created
"%1 Refund","%1 Refund"
"Total %1 Refunded","Total %1 Refunded"
"Total %1 Paid","Total %1 Paid"
"Total %1 Due","Total %1 Due"
"This option is available on Website scope only if configuration setting: Customers > Customer Configuration > Account Sharing Options > Share Customer Accounts = Per Website","This option is available on Website scope only if configuration setting: Customers > Customer Configuration > Account Sharing Options > Share Customer Accounts = Per Website"
"Please select type","Please select type"
Unknown,Unknown
"My %creditsName","My %creditsName"
"Credits are saved.","Credits are saved."
"An error occurred while data saving.","An error occurred while data saving."
Swarming,Swarming
Once,Once
"Each day","Each day"
Fixed,Fixed
Percent,Percent
"Add Transactions","Add Transactions"
"The %1 amount must be positive.","The %1 amount must be positive."
"The %1 amount must be equal or less than %2.","The %1 amount must be equal or less than %2."
"Order {order}%1{order}, creditmemo {creditmemo}%2{creditmemo}","Order {order}%1{order}, creditmemo {creditmemo}%2{creditmemo}"
"Order {order}%1{order}, invoice {invoice}%2{invoice}, creditmemo {creditmemo}%3{creditmemo}","Order {order}%1{order}, invoice {invoice}%2{invoice}, creditmemo {creditmemo}%3{creditmemo}"
"Refunded amount of %1","Refunded amount of %1"
"Order {order}%1{order}, invoice {invoice}%2{invoice}","Order {order}%1{order}, invoice {invoice}%2{invoice}"
"Spent amount of %1","Spent amount of %1"
"Order {order}%1{order} cancellation","Order {order}%1{order} cancellation"
"Unheld amount of %1","Unheld amount of %1"
"Order {order}%1{order}","Order {order}%1{order}"
"Held amount of %1","Held amount of %1"
"Cannot unhold.","Cannot unhold."
"Not enough credits","Not enough credits"
"Not enough credits was spent","Not enough credits was spent"
"Not enough credits on hold","Not enough credits on hold"
"You have reached your %1 limit which is %2.","You have reached your %1 limit which is %2."
"You have gained only %1 %2 because you have reached your %2 limit which is %3.","You have gained only %1 %2 because you have reached your %2 limit which is %3."
"%1 will expire on %2.","%1 will expire on %2."
"%1 was expired.","%1 was expired."
Processed.,Processed.
"%1 still Held.","%1 still Held."
"%1 Refunded.","%1 Refunded."
"Action type is not set.","Action type is not set."
"Action type is unknown.","Action type is unknown."
"Amount is required.","Amount is required."
"Amount must be a number.","Amount must be a number."
"Amount must be greater than 0.","Amount must be greater than 0."
"Manual adjustment.","Manual adjustment."
"Totals calculation is not applicable to empty cart","Totals calculation is not applicable to empty cart"
"Credit with id ""%1"" does not exist.","Credit with id ""%1"" does not exist."
"Credit for customer id ""%1"" does not exist.","Credit for customer id ""%1"" does not exist."
"Could not save credit: %1","Could not save credit: %1"
"Could not delete the credit: %1","Could not delete the credit: %1"
"Transaction link with id ""%1"" does not exist.","Transaction link with id ""%1"" does not exist."
"Could not save transaction link: %1","Could not save transaction link: %1"
"Could not delete the transaction link: %1","Could not delete the transaction link: %1"
"Credits order attribute with id ""%1"" does not exist.","Credits order attribute with id ""%1"" does not exist."
"Credits order attribute is not found for order with id ""%1"".","Credits order attribute is not found for order with id ""%1""."
"Could not save credits order attribute: %1","Could not save credits order attribute: %1"
"Could not delete the credits order attribute: %1","Could not delete the credits order attribute: %1"
"Credits creditmemo attribute with id ""%1"" does not exist.","Credits creditmemo attribute with id ""%1"" does not exist."
"Credits creditmemo attribute is not found for creditmemo with id ""%1"".","Credits creditmemo attribute is not found for creditmemo with id ""%1""."
"Could not save credits creditmemo attribute: %1","Could not save credits creditmemo attribute: %1"
"Could not delete the credits creditmemo attribute: %1","Could not delete the credits creditmemo attribute: %1"
"Credits invoice attribute with id ""%1"" does not exist.","Credits invoice attribute with id ""%1"" does not exist."
